pathogen,disease,symptoms
Tuhoko rubulavirus 3,,
Tula orthohantavirus,,
Tupaia paramyxovirus,,
Turbo cornutus,horned turban snail allergy,
Turicella otitidis,"Otitis, cervical abscess",
Uganda S virus,,
Uncinocarpus orissi,,
Uncinocarpus queenslandicus,,
Ureaplasma parvum,Urethritis,
Ureaplasma urealyticum,Urethritis,
Uriurana virus,,
Urucuri virus,,
Usutu virus,,
Uukuniemi phlebovirus,,
Vaccinia virus,vaccinia,
Vagococcus fluvialis,,
Vanrija humicola,,
Varibaculum cambriense,Abscesses,
Variola major virus,Variola sine eruptione,"fever,  hydrocephalus,  drowsiness,  muscle weakness,  joint pain,  chest pain,  change in body sensation,  cough,  confusion,  testicular pain,  throat pain,  headache,  loss of appetite,  paralysis,  sensory disturbance,  parotid pain,  nausea,  slow pulse,  stiff neck,  vomiting,  muscle pain,  malaise,  excess lymphocytes in cerebrospinal fluid,  severe joint pain,  severe chest pain,  extreme prostration,  abdominal pain ,  enanthem,  hemorrhage into skin,  intense toxemia,  hemorrhage into mucous membrane, fever,"
Variola minor virus,Smallpox,"headache,  backache,  fever, headache,"
Variola virus,Smallpox,"fever,  maculopapular rash,  toxemia,  petechiae,  blotchy red rash,  vomiting,  hematemesis,  headache,  frontal headache,  herpetic lesion on upper lip,  malaise,  backache,  anorexia,  abdominal discomfort, fever,"
Veillonella atypica,"Abscesses, bacteraemia",
Veillonella dispar,"Abscesses, bacteraemia",
Veillonella montpellierensis,"Abscesses, bacteraemia",
Veillonella parvula,"Abscesses, bacteraemia",
Venezuelan equine encephalitis virus,Venezuelan equine fever,
Veronaea botryosa,,
Verruconis gallopava,,
Vibrio alginolyticus,"Wound infection, ear infection",
Vibrio cholerae,Cholera,"dehydration,  diarrhea,  leg cramp,  shock,  vomiting, dehydration,"
Vibrio cholerae 569B,Cholera,
Vibrio cholerae 623-39,Cholera,
Vibrio cholerae AM-19226,Cholera,
Vibrio cholerae B33,Cholera,
Vibrio cholerae BX 330286,Cholera,
Vibrio cholerae M66-2,Cholera,
Vibrio cholerae MAK 757,Cholera,
Vibrio cholerae MJ-1236,Cholera,
Vibrio cholerae MO10,Cholera,
Vibrio cholerae MZO-2,Cholera,
Vibrio cholerae MZO-3,Cholera,
Vibrio cholerae NCTC 8457,Cholera,
Vibrio cholerae O1,Cholera,"abdominal cramp,  dehydration,  fever,  muscle pain,  nausea,  severe diarrhea,  shock,  vomiting, abdominal cramp,"
Vibrio cholerae O1 biovar El Tor str. N16961,Cholera,
Vibrio cholerae O1 biovar El tor,Gastroenteritis,"acute gastroenteritis,  dehydration,  hypothermia,  nausea,  vomiting,  diarrhea, acute gastroenteritis,"
Vibrio cholerae O1 biovar eltor,,
Vibrio cholerae O1 biovar eltor str. N16961,,
Vibrio cholerae O139,Cholera,"abdominal cramp,  dehydration,  fever,  muscle pain,  nausea,  severe diarrhea,  shock,  vomiting, abdominal cramp,"
Vibrio cholerae O26,Cholera,
Vibrio cholerae O27,Cholera,
Vibrio cholerae O37,Enteritis,
Vibrio cholerae O395,Cholera,
Vibrio cholerae RC385,,
Vibrio cholerae RC9,Cholera,
Vibrio cholerae V51,Cholera,
Vibrio cholerae V52,Cholera,
Vibrio cholerae bv. albensis VL426,Cholera,
Vibrio cholerae non-O1,Meningitis,"abdominal pain,  diarrhea,  nausea,  vomiting,  fever,  postphlebitic ulcer, abdominal pain,"
Vibrio cholerae non-O1/non-O139,,"nausea,  severe abdominal cramp,  abdominal pain,  vomiting,  diarrhea, nausea,"
Vibrio cincinnatiensis,Bacteraemia,
Vibrio fluvialis,"Diarrhoea, septicaemia",
Vibrio furnissii,"Diarrhoea, septicaemia",
Vibrio harveyi,Wound infection,
Vibrio metschnikovii,"Diarrhoea, septicaemia",
Vibrio mimicus,"Diarrhoea, septicaemia",
Vibrio parahaemolyticus,"Diarrhoea, septicaemia",
Vibrio vulnificus,"Wound infection, septicaemia, meningitis, endometritis",
Viruses,viral infectious disease;disease by infectious agent,
Wallemia sebi,,
Weeksella virosa,Peritonitis,
Weissella confusa,Endocarditis,
Wesselsbron virus,,
West Nile virus,,"fever,  rash,  myalgia,  joint pain, fever,"
West Nile virus ,West Nile virus neurological syndrome,"fever,  headache,  stiff neck,  stupor,  disorientation,  coma,  tremor,  convulsion,  muscle weakness,  loss of vision,  paralysis,  body ache,  nausea,  vomiting,  rash,  enlargement of lymph nodes,  anorexia,  depression,  ataxia,  muscle twitching,  disturbed vision,  head pressing,  circling movement,  inability to swallow,  drowsiness,  listlessness,  respiratory abnormality,  altered mental status,  flaccid paralysis,  dyspnea,  seizure,  backache,  diarrhea,  dysarthria,  torticollis,  loss of weight,  lethargy, fever,"
Westerdykella minutispora,,
Western equine encephalitis virus,Western equine encephalitis,
Western equine encephalomyelitis virus,Western equine encephalomyelitis,"sudden onset of fever,  headache,  nausea,  vomiting,  anorexia,  malaise,  weakness,  drowsiness,  irritability,  confusion,  coma,  seizure,  incoordination,  depression,  ataxia,  circling movement,  facial tremor,  hyperesthesia,  disturbed vision, sudden onset of fever,"
Whitewater Arroyo mammarenavirus,Whitewater Arroyo hemorrhagic fever,
Wickerhamomyces anomalus,,
Williamsia muralis,Pulmonary infection,
Wohlfahrtiimonas chitiniclastica,Bacteraemia,
Wolbachia sp.,filariasis,
Wyeomyia orthobunyavirus,,
Xanthomonas campestris,Bacteraemia,
Xenoacremonium recifei,,
Xenopsylla cheopis,endemic typhus;plague,
Xerochrysium dermatitidis,,
Xylaria enteroleuca,,
Yaba monkey tumor virus,,
Yaounde virus,,
Yarrowia lipolytica,,
Yellow fever virus,yellow fever,
Yersinia aldovae,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yersinia bercovieri,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yersinia enterocolitica,Yersiniosis;Enterocolitis; soft tissue infections; mesenteric lymphadenitis,"acute mesenteric lymphadenitis,  appendicitis,  diarrhea,  terminal ileitis,  fever,  right lower quadrant abdominal pain,  hepatic abscess,  renal abscess,  spleen abscess, acute mesenteric lymphadenitis,"
Yersinia frederiksenii,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yersinia intermedia,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yersinia kristensenii,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yersinia mollaretii,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yersinia pestis,Plague,"bubo,  chills,  extreme fatigue,  fever,  headache,  muscles ache,  bloody sputum,  chest pain,  cough,  dyspnea,  sudden onset of fever,  abdominal pain,  diarrhea,  extreme exhaustion,  gangrene,  mouth bleeding,  shock,  vomiting, bubo,"
Yersinia pestis Angola,Plague,
Yersinia pestis CO92,Pneumonic plague,
Yersinia pestis KIM,Plague,
Yersinia pestis biovar Microtus str. 91001,Plague,
Yersinia pseudotuberculosis,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yersinia rohdei,"Enterocolitis, soft tissue infections, mesenteric lymphadenitis",
Yogue virus,,
Yokenella regensburgei,"Bacteraemia, wound infection",
Yokose virus,,
Yug Bogdanovac vesiculovirus,,
Zaire ebolavirus,Ebola virus disease,
Zerdali virus,,
Zika virus,,
Zygodontomys brevicauda,Venezuelan hemorrhagic fever,
[Haemophilus] ducreyi,chancroid;Chancroid,
unidentified circular ssDNA virus,,
unidentified influenza virus,Influenza,
